"symbol","display_name","dividend_yield"
"352090",스톰테크,10.03
"208140",정다운,9.36
"460850",동국씨엠,9.28
"440290",HB인베스트먼트,9.09
"415380",스튜디오삼익,8.76
"122990",와이솔,8.65
"478560",블랙야크아이앤씨,8.39
"104700",한국철강,7.96
"199730",바이오인프라,7.83
"190650",코리아에셋투자증권,7.78
"285490",노바텍,7.62
"376290",씨유테크,7.38
"381970",케이카,7.32
"122900",아이마켓코리아,7.3
"290090",트윔,7.26
"140520",대창스틸,6.96
"215000",골프존,6.61
"460860",동국제강,6.59
"462520",조선내화,6.58
"017480",삼현철강,6.62
"009240",한샘,19.06
"053210",스카이라이프,7.03
"068930",디지털대성,6.89
"015360",INVENI,6.55
"014440",영보화학,8.03
"005389",현대차3우B,7.35
"000480",CR홀딩스,8.6
"017800",현대엘리베이터,6.84
"092130",이크레더블,9.49
"036640",HRS,7.74
"067570",엔브이에이치코리아,6.67
"002960",한국쉘석유,6.57
"005387",현대차2우B,7.19
"040420",정상제이엘에스,8.39
"001740",SK네트웍스,6.75
"096240",크레버스,11.63
"001940",KISCO홀딩스,6.98
"001230",동국홀딩스,6.72
"038390",레드캡투어,19.46
"072870",메가스터디,7.12
"005385",현대차우,7.33
"003475",유안타증권우,6.79
"005090",SGC에너지,7.41
"003465",유화증권우,6.56
"067990",도이치모터스,8.17
"053980",오상자이엘,8.61
"037710",광주신세계,7.22
"025000",KPX케미칼,6.69
"049520",유아이엘,8.36
"024090",디씨엠,6.75
